Name: CCTV-1, URL: http://cj7.cdn.hunancatv.com:19901/tsfile/live/0001_1.m3u8, From: local, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Date: None, Delay: 10016 ms, Speed: 0.23 M/s, Resolution: None
Name: CCTV-2, URL: http://cj7.cdn.hunancatv.com:19901/tsfile/live/0002_1.m3u8, From: local, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Date: None, Delay: 10019 ms, Speed: 0.27 M/s, Resolution: None
Name: CCTV-3, URL: http://cj7.cdn.hunancatv.com:19901/tsfile/live/0003_1.m3u8, From: local, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Date: None, Delay: 10014 ms, Speed: 0.19 M/s, Resolution: None
Name: CCTV-5+, URL: http://cj7.cdn.hunancatv.com:19901/tsfile/live/0005_1.m3u8, From: local, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Date: None, Delay: 10018 ms, Speed: 0.20 M/s, Resolution: None
Name: CCTV-8, URL: http://cj7.cdn.hunancatv.com:19901/tsfile/live/0008_1.m3u8, From: local, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Date: None, Delay: 10024 ms, Speed: 0.22 M/s, Resolution: None
Name: CCTV-13, URL: http://cj7.cdn.hunancatv.com:19901/tsfile/live/0013_1.m3u8, From: local, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Date: None, Delay: 10013 ms, Speed: 0.22 M/s, Resolution: None
Name: 广东卫视, URL: http://cj7.cdn.hunancatv.com:19901/tsfile/live/0125_1.m3u8, From: local, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Date: None, Delay: 10068 ms, Speed: 0.35 M/s, Resolution: 1920x1080
Name: 浙江卫视, URL: http://cj7.cdn.hunancatv.com:19901/tsfile/live/0124_1.m3u8, From: local, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Date: None, Delay: 10057 ms, Speed: 0.17 M/s, Resolution: None
Name: 湖南卫视, URL: http://cj7.cdn.hunancatv.com:19901/tsfile/live/0128_1.m3u8, From: local, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Date: None, Delay: 10352 ms, Speed: 0.21 M/s, Resolution: None
Name: 东方卫视, URL: http://cj7.cdn.hunancatv.com:19901/tsfile/live/0107_1.m3u8, From: local, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Date: None, Delay: 10457 ms, Speed: 0.27 M/s, Resolution: None
Name: 江西卫视, URL: http://cj7.cdn.hunancatv.com:19901/tsfile/live/0138_1.m3u8, From: local, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Date: None, Delay: 10163 ms, Speed: 0.32 M/s, Resolution: None
Name: 深圳卫视, URL: http://cj7.cdn.hunancatv.com:19901/tsfile/live/0126_1.m3u8, From: local, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 移动, Date: None, Delay: 10156 ms, Speed: 0.40 M/s, Resolution: None
